"","T4.1","T4.10","T4.16","T4.17","T4.6","T4.8","T5.1","T5.10","T5.16","T5.17","T5.6","T5.8","T7.1","T7.10","T7.16","T7.17","T7.6","T7.8","gene","Uniprot","eval","Prot.ID","Rev","Prot.Name.Long","Prot.Name.Short","Taxa","Num","GO1","GO2","GO3","GO4","GO.IDs","KEGG","KEGG.Path"
"1",317,499,673,593,327,287,482,602,725,488,733,447,879,794,962,437,775,725,"g22366","P45953",0,"ACADV_RAT","reviewed","Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (VLCAD) (EC 1.3.8.9)","Acadvl Vlcad","Rattus norvegicus (Rat)",655,"epithelial cell differentiation [GO:0030855]; fatty acid beta-oxidation [GO:0006635]; fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]; fatty acid catabolic process [GO:0009062]; negative regulation of fatty acid biosynthetic process [GO:0045717]; negative regulation of fatty acid oxidation [GO:0046322]; regulation of cholesterol metabolic process [GO:0090181]; response to cold [GO:0009409]; temperature homeostasis [GO:0001659]","mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]","mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; acyl-CoA dehydrogenase activity [GO:0003995]; fatty-acyl-CoA binding [GO:0000062]; flavin adenine dinucleotide binding [GO:0050660]; long-chain-acyl-CoA dehydrogenase activity [GO:0004466]; very-long-chain-acyl-CoA dehydrogenase activity [GO:0017099]; epithelial cell differentiation [GO:0030855]; fatty acid beta-oxidation [GO:0006635]; fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]; fatty acid catabolic process [GO:0009062]; negative regulation of fatty acid biosynthetic process [GO:0045717]; negative regulation of fatty acid oxidation [GO:0046322]; regulation of cholesterol metabolic process [GO:0090181]; response to cold [GO:0009409]; temperature homeostasis [GO:0001659]","acyl-CoA dehydrogenase activity [GO:0003995]; fatty-acyl-CoA binding [GO:0000062]; flavin adenine dinucleotide binding [GO:0050660]; long-chain-acyl-CoA dehydrogenase activity [GO:0004466]; very-long-chain-acyl-CoA dehydrogenase activity [GO:0017099]","GO:0000062; GO:0001659; GO:0003995; GO:0004466; GO:0005739; GO:0005743; GO:0006635; GO:0009062; GO:0009409; GO:0017099; GO:0030855; GO:0031966; GO:0033539; GO:0042645; GO:0045717; GO:0046322; GO:0050660; GO:0090181","K09479;","rno:25363;"
"2",128,182,196,186,99,119,159,213,288,194,175,239,249,310,314,156,272,281,"g22542","P02594",2.47e-64,"CALM_ELEEL","reviewed","Calmodulin (CaM)","calm","Electrophorus electricus (Electric eel) (Gymnotus electricus)",149,"calcium-mediated signaling [GO:0019722]","","calcium ion binding [GO:0005509]; calcium-mediated signaling [GO:0019722]","calcium ion binding [GO:0005509]","GO:0005509; GO:0019722","",""
"3",108,35,61,87,91,29,74,70,69,111,148,55,122,54,80,42,167,39,"g22955","Q09694",1.02e-118,"LYS1_SCHPO","reviewed","Saccharopine dehydrogenase [NAD(+), L-lysine-forming] (SDH) (EC 1.5.1.7) (Lysine--2-oxoglutarate reductase)","lys3 SPAC227.18 SPAC2F7.01","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",368,"lysine biosynthetic process [GO:0009085]; lysine biosynthetic process via aminoadipic acid [GO:0019878]","cytoplasm [GO:0005737]","cytoplasm [GO:0005737]; saccharopine dehydrogenase (NAD+, L-lysine-forming) activity [GO:0004754]; lysine biosynthetic process [GO:0009085]; lysine biosynthetic process via aminoadipic acid [GO:0019878]","saccharopine dehydrogenase (NAD+, L-lysine-forming) activity [GO:0004754]","GO:0004754; GO:0005737; GO:0009085; GO:0019878","K00290;","spo:SPAC227.18;"
"4",285,572,1289,726,447,289,170,1754,1637,485,919,745,7208,2187,4971,367,1250,3344,"g23756","Q86WI1",0,"PKHL1_HUMAN","reviewed","Fibrocystin-L (Polycystic kidney and hepatic disease 1-like protein 1) (PKHD1-like protein 1)","PKHD1L1","Homo sapiens (Human)",4243,"immune response [GO:0006955]","cilium [GO:0005929]; cytosol [GO:0005829]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]","cilium [GO:0005929]; cytosol [GO:0005829]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; signaling receptor activity [GO:0038023]; immune response [GO:0006955]","signaling receptor activity [GO:0038023]","GO:0005615; GO:0005829; GO:0005929; GO:0006955; GO:0016021; GO:0038023","","hsa:93035;"
"5",40,56,95,59,32,13,16,75,114,41,46,52,10,57,76,12,13,50,"g24187","Q99056",6.71e-52,"LAC5_TRAVI","reviewed","Laccase-5 (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase 5) (Diphenol oxidase 5) (Urishiol oxidase 5)","LCC5","Trametes villosa (White-rot fungus)",527,"lignin catabolic process [GO:0046274]","extracellular region [GO:0005576]","extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]; lignin catabolic process [GO:0046274]","copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]","GO:0005507; GO:0005576; GO:0046274; GO:0052716","",""
"6",388,351,429,527,404,217,285,413,317,318,426,188,360,252,336,276,478,175,"g25232","Q921L8",0,"GLT11_MOUSE","reviewed","Polypeptide N-acetylgalactosaminyltransferase 11 (EC 2.4.1.41) (Polypeptide GalNAc transferase 11) (GalNAc-T11) (pp-GaNTase 11) (Protein-UDP acetylgalactosaminyltransferase 11) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 11)","Galnt11","Mus musculus (Mouse)",608,"cilium assembly [GO:0060271]; determination of left/right symmetry [GO:0007368]; Notch receptor processing [GO:0007220]; Notch signaling involved in heart development [GO:0061314]; protein O-linked glycosylation via threonine [GO:0018243]; regulation of Notch signaling pathway [GO:0008593]","Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]","Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]; Notch binding [GO:0005112]; polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]; cilium assembly [GO:0060271]; determination of left/right symmetry [GO:0007368]; Notch receptor processing [GO:0007220]; Notch signaling involved in heart development [GO:0061314]; protein O-linked glycosylation via threonine [GO:0018243]; regulation of Notch signaling pathway [GO:0008593]","carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]; Notch binding [GO:0005112]; polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]","GO:0000139; GO:0004653; GO:0005112; GO:0005794; GO:0007220; GO:0007368; GO:0008593; GO:0016021; GO:0018243; GO:0030246; GO:0046872; GO:0060271; GO:0061314","K00710;","mmu:231050;"
"7",467,887,1089,646,555,808,44,595,414,546,428,590,91,88,240,99,120,236,"g25294","P57788",2.81e-40,"MOT4_CHICK","reviewed","Monocarboxylate transporter 4 (MCT 4) (Solute carrier family 16 member 3)","SLC16A3 MCT4","Gallus gallus (Chicken)",473,"monocarboxylic acid transport [GO:0015718]","integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]","integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; lactate transmembrane transporter activity [GO:0015129]; monocarboxylic acid transmembrane transporter activity [GO:0008028]; symporter activity [GO:0015293]; monocarboxylic acid transport [GO:0015718]","lactate transmembrane transporter activity [GO:0015129]; monocarboxylic acid transmembrane transporter activity [GO:0008028]; symporter activity [GO:0015293]","GO:0005887; GO:0008028; GO:0015129; GO:0015293; GO:0015718; GO:0016021","K08180;","gga:395383;"
"8",687,865,1519,1011,816,879,92,622,519,931,724,673,127,82,319,102,134,254,"g25295","P57788",1.18e-40,"MOT4_CHICK","reviewed","Monocarboxylate transporter 4 (MCT 4) (Solute carrier family 16 member 3)","SLC16A3 MCT4","Gallus gallus (Chicken)",473,"monocarboxylic acid transport [GO:0015718]","integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]","integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; lactate transmembrane transporter activity [GO:0015129]; monocarboxylic acid transmembrane transporter activity [GO:0008028]; symporter activity [GO:0015293]; monocarboxylic acid transport [GO:0015718]","lactate transmembrane transporter activity [GO:0015129]; monocarboxylic acid transmembrane transporter activity [GO:0008028]; symporter activity [GO:0015293]","GO:0005887; GO:0008028; GO:0015129; GO:0015293; GO:0015718; GO:0016021","K08180;","gga:395383;"
"9",51,52,83,64,40,30,105,92,126,80,107,86,133,77,87,52,133,57,"g25809","P50549",2.48e-66,"ETV1_HUMAN","reviewed","ETS translocation variant 1 (Ets-related protein 81)","ETV1 ER81","Homo sapiens (Human)",477,"axon guidance [GO:0007411]; cell differentiation [GO:0030154]; mechanosensory behavior [GO:0007638]; muscle organ development [GO:0007517]; peripheral nervous system neuron development [GO:0048935]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription by RNA polymerase II [GO:0006366]","nuclear chromatin [GO:0000790]; nucleus [GO:0005634]","nuclear chromatin [GO:0000790]; nucleus [GO:0005634]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; axon guidance [GO:0007411]; cell differentiation [GO:0030154]; mechanosensory behavior [GO:0007638]; muscle organ development [GO:0007517]; peripheral nervous system neuron development [GO:0048935]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription by RNA polymerase II [GO:0006366]","DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]","GO:0000790; GO:0000978; GO:0000981; GO:0001228; GO:0003700; GO:0005634; GO:0006357; GO:0006366; GO:0007411; GO:0007517; GO:0007638; GO:0030154; GO:0045944; GO:0048935","K09431;","hsa:2115;"
"10",44,41,176,45,28,78,25,61,122,44,26,87,23,167,364,23,51,174,"g25830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
